holding_period,std_strip_rf,std_mkt_rf,std_strip_2y,std_mkt_10y
1,40.488399248540986,16.268800055126093,40.53861857526348,18.69328602123426
6,21.90008057299873,17.123504354621904,22.28711520204742,20.407188272168074
12,16.891989721939485,17.68421686045748,17.29104975302545,20.46714346614848
18,14.980495641809464,17.66254099734003,15.557842367371405,20.489717569060602
24,14.165011152132866,17.545685444500887,14.854342324037653,20.33172685409447
30,12.950689212492836,16.95559534183214,13.780837413139105,19.30198952758927
36,12.71094893774229,16.50017777606517,13.476917435225555,18.406052961883677
