Period,Series,Mean (%),Std. Dev. (%),Min (%),Max (%),N
Full sample (1996--2022),Option-implied rate,2.6800320648417566,2.1415478529041443,0.29106950102165,7.3798786063675195,324
Full sample (1996--2022),Zero curve rate,2.5985470353448314,2.156404801289814,0.14555419780219,7.34241196703296,324
Full sample (1996--2022),Treasury rate,2.2504884028261047,2.015753832663234,0.04998750416508999,6.17533962754822,324
First half (1996--2009),Option-implied rate,4.090978867500594,1.9287435070283547,0.48405034075521997,7.3798786063675195,168
First half (1996--2009),Zero curve rate,4.053035743959621,1.897866939321079,0.49075737362637,7.34241196703296,168
First half (1996--2009),Treasury rate,3.573900299080103,1.799424095465671,0.26963615477425,6.17533962754822,168
Second half (2010--2022),Option-implied rate,1.160550892747623,1.0332438228213998,0.29106950102165,5.0454233541647495,156
Second half (2010--2022),Zero curve rate,1.032174579913519,1.023275697545466,0.14555419780219,5.078245,156
Second half (2010--2022),Treasury rate,0.8252755914756453,1.0178718168056138,0.04998750416508999,4.63109028632503,156
