date,r_1y,zero_1y,treasury_1y
1996-01-31,0.054138546103068126,0.049914352527472526,0.04783732941416006
1996-02-29,0.06567129429379878,0.053202600769230765,0.050978244764629456
1996-03-29,0.053715293273094385,0.05589249989010989,0.05268732227900649
1996-04-30,0.05748427667063254,0.05808063923076923,0.05467756129069576
1996-05-31,0.060689548185676,0.05994258538461539,0.05609673935187022
1996-06-28,0.0605068859943289,0.05915883637362638,0.055434706888100524
1996-07-31,0.058113604682999434,0.06082991824175824,0.05685281159278279
1996-08-30,0.06108992239251196,0.061400513736263734,0.05741949086748642
1996-09-30,0.05829871011256854,0.05916988285714286,0.05552930979248023
1996-10-31,0.06105141381118022,0.056300401098901096,0.052971884766105724
1996-11-29,0.06167712883165178,0.05553081813186813,0.05240267879304842
1996-12-31,0.05676904425190796,0.05730977076923077,0.05363554916590934
1997-01-31,0.0598692796613402,0.05790329615384615,0.054298773407378875
1997-02-28,0.0591493511557327,0.059086654615384614,0.05515084446484802
1997-03-31,0.06038537154063256,0.06256217285714286,0.05845756957156869
1997-04-30,0.05927370377662718,0.0618859921978022,0.05732506661926935
1997-05-30,0.05890229019244536,0.061225072857142855,0.05619127964974256
1997-06-30,0.06267962817437042,0.06051433,0.05515084446484802
1997-07-31,0.05901450420635572,0.058251711428571426,0.05306672093669223
1997-08-29,0.06378125356172892,0.05981723,0.0543934838303317
1997-09-30,0.061732362699024663,0.059228382307692305,0.053256366300431464
1997-10-31,0.05894134374377412,0.05817657373626374,0.052212871446934324
1997-11-28,0.06024311266902515,0.05933955978021978,0.05373032242096771
1997-12-31,0.06023928486608349,0.05840525681318681,0.05363554916590934
1998-01-30,0.06058357359746129,0.055681632527472526,0.05107327018400062
1998-02-27,0.05677975072822083,0.05726352637362637,0.05268732227900649
1998-03-31,0.058371056895321974,0.058094426153846156,0.05268732227900649
1998-04-30,0.056959364783884976,0.05826093197802198,0.05259245011917063
1998-05-29,0.056401630910254755,0.05780045219780219,0.05278218543896948
1998-06-30,0.057254803250347826,0.057512589999999995,0.05240267879304842
1998-07-31,0.05797726034927206,0.05751767098901099,0.05240267879304842
1998-08-31,0.0574777827192054,0.05390954879120879,0.048313860278550724
1998-09-30,0.05318990118306947,0.04876135142857143,0.04315527031392763
1998-10-30,0.048186551297060926,0.046707988021978016,0.04094998632895417
1998-11-30,0.04763874218884187,0.049571515384615385,0.044303925556524314
1998-12-31,0.04918468436827813,0.04999217054945055,0.044303925556524314
1999-01-29,0.048319689191404766,0.04999992351648352,0.044112574618320875
1999-02-26,0.05155618820983939,0.05357783494505494,0.047646653467352994
1999-03-31,0.05184801673891688,0.05200775948979592,0.046119935613553036
1999-04-30,0.05142890781113316,0.05292003989795918,0.046692727991982354
1999-05-28,0.05385019078711569,0.05555941295918367,0.048504409059615054
1999-06-30,0.05811237517200399,0.05704161230769231,0.04945660871259249
1999-07-30,0.05742595192437805,0.05882166527472528,0.05002749359964807
1999-08-31,0.058466603137333754,0.06016996769230769,0.051643233151838386
1999-09-30,0.059907400699884525,0.059420525714285716,0.05088321031456982
1999-10-29,0.06071258303325578,0.060142270000000005,0.05287703960076694
1999-11-30,0.06014599715657139,0.06167185384615385,0.055434706888100524
1999-12-31,0.06361896194891246,0.0641768531868132,0.058080211076524724
2000-01-31,0.06521677783144325,0.06705456021978022,0.06109509935981083
2000-02-29,0.06715687532201589,0.06702483615384615,0.060153922819747144
2000-03-31,0.07067200412152036,0.0687084510989011,0.06090693490352136
2000-04-28,0.07128017504216276,0.07064342010989011,0.06053049974003236
2000-05-31,0.0737987860636752,0.07342411967032968,0.061753396275482215
2000-06-30,0.07003407840176235,0.07040144362637363,0.059023340449460976
2000-07-31,0.0705955284509013,0.06948372252747252,0.05892906752928747
2000-08-31,0.07108915779250466,0.06808479043956044,0.06034222900616176
2000-09-29,0.06603683319846324,0.06641638857142858,0.05892906752928747
2000-10-31,0.06525946412030138,0.06579023,0.059400343281447464
2000-11-30,0.06574235452049802,0.06329066747252747,0.05751390620060664
2000-12-29,0.05967512699469033,0.05798763043956044,0.0518331486400172
2001-01-31,0.05108859740330856,0.05033620065934066,0.044973365642731196
2001-02-28,0.05185025896645915,0.048358077362637364,0.0437297628613252
2001-03-30,0.046472232658541106,0.04503233296703297,0.04008572353928558
2001-04-30,0.04617299620939249,0.04392494153846154,0.03864362359220453
2001-05-31,0.042133312861085424,0.04157085230769231,0.035656677208034684
2001-06-29,0.041746796689870136,0.04188135406593407,0.03652477468237217
2001-07-31,0.040522464138026223,0.03760661076923077,0.03469123978993026
2001-08-31,0.03869726656789701,0.035548224505494504,0.033531483208792345
2001-09-28,0.026254615060570103,0.026734381098901097,0.024595046855380134
2001-10-31,0.02571957195669407,0.022740923626373626,0.020488666427315602
2001-11-30,0.02680661899911558,0.02396146164835165,0.02039068964773398
2001-12-31,0.023969666147005807,0.023923514285714285,0.021467906615240975
2002-01-31,0.024188188806299245,0.025875503626373628,0.022641730480824573
2002-02-28,0.024988546252659786,0.02512342021978022,0.022250608934819723
2002-03-28,0.029593867920803603,0.031009006483516482,0.026641930946421092
2002-04-30,0.02617598788888368,0.027010066923076927,0.023228126119207243
2002-05-31,0.025718835058782658,0.02680553769230769,0.023130417388854466
2002-06-28,0.022869504550422415,0.023038055384615383,0.02039068964773398
2002-07-31,0.021999652766266174,0.01989729857142857,0.017839918128331016
2002-08-30,0.020435168262691303,0.019413984725274728,0.017250353406527672
2002-09-30,0.017149131895511996,0.01602761857142857,0.015184135325040055
2002-10-31,0.01598704809563484,0.01566200054945055,0.014494446150452511
2002-11-29,0.018050643984465004,0.01697701208791209,0.015479570848386375
2002-12-31,0.014527249829094297,0.014248493076923077,0.013113639145383204
2003-01-31,0.014413681804022832,0.014346021868131869,0.013014937077494763
2003-02-28,0.01401359957660777,0.013420374615384615,0.012323749688831903
2003-03-31,0.01436187400561611,0.012642857142857143,0.011829751753577221
2003-04-30,0.013413797203727,0.012691909010989011,0.012126179797840555
2003-05-30,0.011997830645746513,0.011969835164835166,0.011236631925987768
2003-06-30,0.01107376214842975,0.011664882857142856,0.010841023177874769
2003-07-31,0.01426221603262237,0.01391007021978022,0.012718772407774612
2003-08-29,0.014116819297455637,0.014486938351648352,0.01340968690991774
2003-09-30,0.012979855967869446,0.012240034615384615,0.01143437762566317
2003-10-31,0.014808112204475723,0.014759157802197803,0.013014937077494763
2003-11-28,0.016898279883233547,0.016167124725274727,0.01380428097639708
2003-12-31,0.014604921385224946,0.014569065164835164,0.012521280553671691
2004-01-30,0.014933233300421823,0.014795771648351648,0.012718772407774612
2004-02-27,0.013794846815383517,0.013798059670329672,0.012027380212718455
2004-03-31,0.01421703710162062,0.013489463736263736,0.011928570865273812
2004-04-30,0.01822914848985533,0.018669092637362637,0.015381102038302391
2004-05-28,0.02069949895865682,0.021680082857142857,0.018134570195482678
2004-06-30,0.023847080386279973,0.024255255102040817,0.020684591192832603
2004-07-30,0.023817790013351433,0.024416492448979595,0.02107632560191631
2004-08-31,0.02287768941427461,0.023117230714285713,0.01970458327433543
2004-09-30,0.024079790315340643,0.025085544065934065,0.021859334352893528
2004-10-29,0.02570086701816963,0.0254450110989011,0.022543964434894436
2004-11-30,0.029898256458383614,0.03001712230769231,0.025960101669531624
2004-12-31,0.03122772486850249,0.03113422761904762,0.027128667388252696
2005-01-31,0.03266135282152884,0.03307529142857143,0.029170377299779924
2005-02-28,0.03573222870372396,0.03609064892857143,0.031498667059371016
2005-03-31,0.038105530751946226,0.03841012918367347,0.03295110013968598
2005-04-29,0.03677011609093408,0.037493733673469386,0.03275756423817229
2005-05-31,0.03777567385098647,0.03787003928571429,0.032660782239548276
2005-06-30,0.03937368340512407,0.03911744571428571,0.033918218203460644
2005-07-29,0.04156568936156856,0.04227727043956044,0.03729578474369693
2005-08-31,0.040662042989923326,0.040981748571428576,0.03700672562909574
2005-09-30,0.045296471384881735,0.044886039120879115,0.03931686237695041
2005-10-31,0.04378303626826104,0.0471834743956044,0.04219704869978828
2005-11-30,0.0481225211961921,0.04808577582417582,0.042484611606155395
2005-12-30,0.04892490264868855,0.04821070120879121,0.04286790022717587
2006-01-31,0.05711108173508117,0.049259617692307696,0.04478214277189325
2006-02-28,0.05070271223770893,0.05096257384615384,0.04621542379696289
2006-03-31,0.052649055707915504,0.05250039714285714,0.04707440738592885
2006-04-28,0.05288164297211555,0.05263903318681319,0.04783732941416006
2006-05-31,0.05451536368205204,0.05442250670329671,0.04945660871259249
2006-06-30,0.05641896940985254,0.05608498978021977,0.050788166832105096
