period,avg_diff_bp,rel_diff_pct,paper_avg_diff_bp,paper_rel_diff_pct
original_1996_2022,8.148502949692515,3.1357919786936557,7.0,2.82
extended_2023_2024,-31.154283862753914,-5.9177198382789395,,
full_1996_2024,5.437965928144485,1.9544078045883404,,
