date,cum_strip,cum_mkt,cum_strip_rf,cum_mkt_rf,cum_strip_2y,cum_mkt_10y
1996-01-31,1.0,1.0,1.0,1.0,1.0,1.0
1996-02-29,0.9042316574548857,1.0163057872111647,0.9007120217415897,1.0123499136086347,0.9086458590380927,1.0466200915426047
1996-03-29,0.6955593619935758,1.027339165216716,0.6901551029797452,1.0193570902893214,0.7006799588828205,1.0689381192289913
1996-04-30,0.7527822781856651,1.0538861094111267,0.7435054133653057,1.040898610560031,0.7577565813616225,1.1155988099381422
1996-05-31,1.0179825343057862,1.0822686683775065,1.001223508987767,1.0644513017695354,1.0226292240028276,1.152419601520525
1996-06-28,0.8708960484329443,1.0730011429574162,0.8531391141977909,1.0511234334833373,0.8690038323240693,1.1261823099723327
1996-07-31,0.6566006652044023,1.0153223046286708,0.6403251013063874,0.9901548871681367,0.6522857324377654,1.065080242240109
1996-08-30,0.8893704370504649,1.0484235757108558,0.8637763130213995,1.0182522523635997,0.8809183106379882,1.1054859060917643
1996-09-30,0.8139775573364331,1.1039859345965732,0.7870822822905668,1.0675082638179056,0.7987077167945008,1.138124251048323
1996-10-31,0.7525052197883993,1.119377567614724,0.7245914169710004,1.077854819494248,0.7296546060843754,1.120682899054139
1996-11-29,0.8909712496672683,1.1928377540987314,0.8544108434772817,1.14389045885785,0.857578464252062,1.1633862171171796
1996-12-31,0.8326265399538882,1.1792106770682744,0.7947957872299781,1.1256327217750945,0.8015102299022792,1.1750273266957074
1997-01-31,0.8092963491855923,1.242374324751278,0.7690570587708314,1.180601821628266,0.775405187363044,1.2380758466300743
1997-02-28,0.7164335541701962,1.2410811489348048,0.6781615312800517,1.1747823472328458,0.6852998073066126,1.2394469983176697
1997-03-31,0.8198310678640219,1.1855387256845447,0.7727057406374345,1.1173918810751595,0.7849827222854825,1.207212936008835
1997-04-30,0.7227930344009567,1.2358814096082316,0.6783225563960924,1.1598427174421482,0.6863882238964669,1.2349610987243178
1997-05-30,0.6324100494924499,1.3244187864116916,0.5905994253094272,1.2368572807334752,0.5964124787739925,1.3087898049871594
1997-06-30,0.7729418309787051,1.3827668783404616,0.7191743333612404,1.2865786377033364,0.7235028272845377,1.3429556856705673
1997-07-31,0.8602552257272893,1.4887804130802338,0.796979629362834,1.3792739948963404,0.7959137097735611,1.3898985185598638
1997-08-29,0.6938521869940693,1.4350517522639012,0.6401861226923916,1.3240575361227507,0.64198735534672,1.3675111955893127
1997-09-30,0.7863221639443931,1.5189474530774079,0.722318795348123,1.3953114191774985,0.7215034144657055,1.415733189212752
1997-10-31,0.6975843492596873,1.4665999403514738,0.6381181391104312,1.3415782990970762,0.6351416462024252,1.3339006973004897
1997-11-28,0.8542725883540113,1.5110850236171027,0.7784076299893355,1.376890851914744,0.7763966807846219,1.3727381548944593
1997-12-31,0.7603658657720629,1.538189135395754,0.6895227694184894,1.3948764407652356,0.685593219004636,1.3769692218510128
1998-01-30,0.7839089060988862,1.545279818047835,0.7078221222722609,1.3952938049375045,0.6996933145921357,1.3547239164245115
1998-02-27,0.8976142499791692,1.6586703361979287,0.8073363808954487,1.4918489834087965,0.8009453752201853,1.4654862910951876
1998-03-31,0.7966518264846318,1.7436163307856996,0.7137392704697296,1.5621472348913257,0.7076885207604761,1.5366402354276507
1998-04-30,0.6791391566943398,1.7625143268058687,0.6058461343671904,1.5723029384134255,0.6006139230279706,1.548148896610181
1998-05-29,0.787024414940367,1.7169704551985607,0.6992856197582364,1.5255597235329483,0.6925222077102667,1.4930850330586896
1998-06-30,0.8679929535079095,1.7722682941511394,0.7680720904754595,1.5682498435854386,0.7594532100874056,1.5205760732614675
1998-07-31,0.8872232261491578,1.7311236478210263,0.7819545470285957,1.5257265229154477,0.7725758426102133,1.4847460964325758
1998-08-31,0.917643997517531,1.4571776457120102,0.8052956790421805,1.2787735383909824,0.7863503431976119,1.2052824672998326
1998-09-30,0.7432819713562991,1.551106472537309,0.6492874147752794,1.3549553875997116,0.6291808405689773,1.2187092981503374
1998-10-30,0.8249233793497224,1.666048746256416,0.7183022981509593,1.4507124821833437,0.6950083508930586,1.3226751066820868
1998-11-30,0.7217329349027989,1.7698012660602995,0.6265040095324484,1.5362851487603368,0.6085005269000682,1.4143961577123187
1998-12-31,0.654180190913593,1.8812547856640698,0.5657107101791172,1.6268392036445107,0.5498827122377294,1.4890967110522162
1999-01-29,1.0379934635762194,1.9536771862567581,0.8944819881934589,1.6835646034131573,0.8693878506266872,1.541351211977181
1999-02-26,0.9142200837736665,1.8792751780965682,0.7850687820135154,1.613791144301485,0.7708743344576323,1.550891045183527
1999-03-31,1.0373052586052585,1.951189114818083,0.8869437213053272,1.668356465091215,0.8676841067837466,1.5964628781812487
1999-04-30,1.0184686547663955,2.046907360000072,0.8676214129452048,1.743736194079086,0.8494439085014991,1.6806163241572356
1999-05-28,1.1993444902626293,2.004866634175061,1.018239493628283,1.7021251216384259,1.002121498332858,1.6840280884957337
1999-06-30,1.209354300903378,2.108539155083501,1.0226390414593378,1.7829964790494839,1.0069408407174723,1.7838645408876985
1999-07-30,0.9309174871647449,2.0429259352569504,0.7842051406921087,1.7209613554055134,0.7732479903234052,1.7355901747032056
1999-08-31,0.9202247285200265,2.024868785220454,0.7721801751888472,1.6991105377276663,0.7616084799279583,1.7280586213990146
1999-09-30,0.8885911103967756,1.9788506857776913,0.7427334161033294,1.6540324482312236,0.7305423128415499,1.6687196129250732
1999-10-29,0.8419476952775492,2.1022864192949458,0.701007013999504,1.7503670758025482,0.6914642269031007,1.7837050196446567
1999-11-30,0.7524846993321966,2.181838037257162,0.6242685618147685,1.8100738723857894,0.6170625023322911,1.8634798193008073
1999-12-31,1.0653664782032626,2.3646598227739193,0.8799579567758963,1.95313187404531,0.8726376787810554,2.044983349605311
2000-01-31,1.1273644611586653,2.271012189795886,0.927356302276108,1.8681070224517884,0.9247303365259439,1.9834275046110004
2000-02-29,0.9937215908719348,2.3450872457089242,0.8139159277109205,1.920763198351608,0.8095695548347219,2.02064548969395
2000-03-31,0.8813643794810366,2.4641903781502137,0.7185039032647345,2.0088517828810493,0.7133308882563041,2.051961008843261
